person_id,prolific_id,phase,relevant,timestamp,interesting,know_better,like_chosen,diversity_high,differed_topics,fit_preferences,looking_forward,fitted_preferences,similar_to_each_other,sport,politikk,media_usage,news_source,media_access,mat_og_drikke,klima_og_miljo,livsstil_og_helse,helse_og_forskning,samfunn_og_arbeidsliv,okonomi_og_naeringsliv,teknologi_og_vitenskap,kriminalitet_og_rettssaker,underholdning_og_kjendiser,utenriks_og_globale_konflikter,num_clicks,percent_familiar,age,country,education,gender
16,610055ffe4d2514e9cf1073f,1,2,2025-06-19T13:22:42.267150+00:00,3,4,3,3,3,2,3,3,3,-1,1,daily,social,"internet,smartphone,tablet",1,1,1,1,1,-1,1,-1,1,1,6,,b35_45,US,BA,Female
16,610055ffe4d2514e9cf1073f,2,4,2025-06-21T21:28:07.813973+00:00,4,1,5,4,4,5,5,4,2,-1,1,monthly,social,"internet,smartphone,tablet",1,1,1,1,1,-1,1,-1,1,1,1,100.0,b35_45,US,BA,Female
17,682e2dca7365a51662cdeb28,1,5,2025-06-19T13:22:17.243524+00:00,4,5,4,4,4,5,4,4,4,1,1,daily,social,"internet,smartphone,streaming",-1,1,1,1,1,1,1,1,-1,1,5,,b35_45,US,BA,Female
17,682e2dca7365a51662cdeb28,2,4,2025-06-21T18:21:58.231459+00:00,4,4,5,4,4,5,5,4,4,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,5,80.0,b35_45,US,BA,Female
20,6844f23c93b155490d50b61e,1,4,2025-06-19T13:27:11.633539+00:00,4,3,3,5,4,4,3,4,2,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,-1,1,7,,b25_35,US,MSc,Male
20,6844f23c93b155490d50b61e,2,4,2025-06-21T22:12:11.886104+00:00,4,3,4,4,3,4,3,4,3,1,-1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,-1,1,9,33.3,b25_35,US,MSc,Male
22,6827baf89f316ceb7d12e54f,1,4,2025-06-19T13:24:48.752402+00:00,5,2,5,5,5,4,5,5,1,-1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,-1,1,-1,1,1,1,6,,b18_24,US,BA,Female
22,6827baf89f316ceb7d12e54f,2,4,2025-06-21T18:45:39.067663+00:00,5,4,5,4,5,5,5,4,4,-1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,-1,1,-1,1,-1,1,9,55.6,b18_24,US,BA,Female
24,68389b38b0a25ec38d71d088,1,5,2025-06-19T13:26:12.765775+00:00,4,4,4,5,4,3,4,5,3,1,1,daily,social,"internet,smartphone,tablet,streaming",-1,1,-1,1,1,1,1,1,1,1,6,,b45_55,US,MSc,Male
24,68389b38b0a25ec38d71d088,2,5,2025-06-21T18:38:12.456027+00:00,5,3,5,5,5,5,5,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",-1,1,-1,1,1,1,1,1,-1,1,4,75.0,b45_55,US,MSc,Male
25,66c9f7fd98cb4c8f77f98b27,1,5,2025-06-19T13:27:00.937136+00:00,5,3,5,5,5,5,5,5,1,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,8,,b35_45,US,BA,Male
25,66c9f7fd98cb4c8f77f98b27,2,5,2025-06-21T18:21:21.698382+00:00,5,3,5,5,5,5,5,5,5,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,33,69.7,b35_45,US,BA,Male
